codigo_reg,localidade,idade,perc,sexo
8,Francisco Beltrão,15-19,3.02,f
8,Francisco Beltrão,20-24,3.61,f
8,Francisco Beltrão,25-29,4.09,f
8,Francisco Beltrão,30-34,3.92,f
8,Francisco Beltrão,35-39,3.7,f
8,Francisco Beltrão,40-44,3.37,f
8,Francisco Beltrão,45-49,3.35,f
8,Francisco Beltrão,50-54,3.42,f
8,Francisco Beltrão,55-59,3.25,f
8,Francisco Beltrão,60-64,2.75,f
8,Francisco Beltrão,65-69,2.23,f
8,Francisco Beltrão,70-74,1.68,f
8,Francisco Beltrão,75-79,1.16,f
8,Francisco Beltrão,80+,1.4,f
22,Ivaiporã,0-4,3.19,f
22,Ivaiporã,5-9,3.17,f
22,Ivaiporã,10-14,2.79,f
22,Ivaiporã,15-19,2.81,f
22,Ivaiporã,20-24,3.31,f
22,Ivaiporã,25-29,3.87,f
22,Ivaiporã,30-34,3.5,f
22,Ivaiporã,35-39,3.43,f
22,Ivaiporã,40-44,3.4,f
22,Ivaiporã,45-49,3.53,f
22,Ivaiporã,50-54,3.62,f
22,Ivaiporã,55-59,3.4,f
22,Ivaiporã,60-64,2.92,f
22,Ivaiporã,65-69,2.39,f
22,Ivaiporã,70-74,1.85,f
22,Ivaiporã,75-79,1.33,f
22,Ivaiporã,80+,1.6,f
14,Paranavaí,0-4,3.13,f
14,Paranavaí,5-9,3.16,f
14,Paranavaí,10-14,2.99,f
14,Paranavaí,15-19,3.03,f
14,Paranavaí,20-24,3.47,f
14,Paranavaí,25-29,3.88,f
14,Paranavaí,30-34,3.76,f
14,Paranavaí,35-39,3.62,f
14,Paranavaí,40-44,3.5,f
14,Paranavaí,45-49,3.51,f
14,Paranavaí,50-54,3.56,f
14,Paranavaí,55-59,3.36,f
14,Paranavaí,60-64,2.77,f
14,Paranavaí,65-69,2.18,f
14,Paranavaí,70-74,1.72,f
14,Paranavaí,75-79,1.3,f
14,Paranavaí,80+,1.6,f
1,Paranaguá,0-4,3.8,f
1,Paranaguá,5-9,3.63,f
1,Paranaguá,10-14,3.24,f
1,Paranaguá,15-19,3.4,f
1,Paranaguá,20-24,3.99,f
1,Paranaguá,25-29,4.02,f
1,Paranaguá,30-34,3.57,f
1,Paranaguá,35-39,3.55,f
1,Paranaguá,40-44,3.63,f
1,Paranaguá,45-49,3.44,f
1,Paranaguá,50-54,3.4,f
1,Paranaguá,55-59,3.14,f
1,Paranaguá,60-64,2.61,f
